# Authoritative poster list from the ESA Heliophysics posters page:
#   https://www.cosmos.esa.int/web/esa-heliophysics/posters
# Kept in sync manually: crosscheck name/number/topic when named new posters.
# Titles may drift slightly between the website and the uploaded PDF — the
# website wins for poster number, topic and author.
#
# Columns: poster,topic,authors,title
poster,topic,authors,title
1,4,"Jeffersson Andres Agudelo Rueda","Anomalous Electric Fields in Earth's Turbulent Magnetosheath: Insights From 3D Hybrid Simulations"
2,4,"Eleanna Asvestari","Survey on the careers and wellbeing of postdoctoral and non-permanent researchers in the heliophysics community"
3,2,"Georgios Balasis","Can information theory provide a scientific basis for machine learning applications related to space weather?"
4,4,"Tinatin Baratashvili","Total solar eclipse 2026 prediction with COCONUT"
5,3,"Markus Baumgartner-Steinleitner","Enabling Comprehensive Solar Eruption Analyses: Tools developed in the European Horizon Project SOLER"
6,1,"David Berghmans","The thinnest flare loop strands ever observed in the corona by Solar Orbiter/EUI"
7,1,"Harsh Bhati","Multi-spacecraft study of ICME-ICME interactions, ICME-in-sheath and associated GLE #77 during 11-12th Nov 2025"
8,2,"Georg Bluthner","MULTI-POINT OBSERVATIONS OF THE GLOBAL MAGNETOSPHERIC RESPONSE TO THE 20-22 DECEMBER 2015 CORONAL MASS EJECTION"
9,4,"Sophie Chabanski","European Space Weather and Space Climate association (E-SWAN) sustainability working group."
10,1,"Christopher Chen","Plasma turbulence as a cross-cutting topic in the heliosphere and beyond"
11,2,"Evangelia Christodoulou","Proton Belt Dynamics Following the May 2024 Geospace Magnetic Superstorm"
12,3,"Evangelia Christodoulou","Omnidirectional Proton Flux Derivation from Sentinel 6 - MF NGRM Observations"
13,3,"Fabrice Cipriani","Enabling Heliophysics and Space Weather measurements at the Lunar surface"
14,2,"Elton Everardo Diaz Figueroa","SunRunner3D MHD Simulations of Solar Cycle 25 Geomagnetic Storms: Heliospheric Propagation and In-Situ Comparison of Extreme CME Events"
15,2,"Ekaterina Dineva","From Magnetic Complexity to Latent Geometry: Contrastive Beta-VAEs for Solar Flare Forecasting"
16,3,"Ben Dobbing","Development of a Novel Sensor for Measuring Electron Energisation in Space Plasmas"
17,3,"Joshua Dreyer","Global VTEC maps based on the ROB-IONO software and median polish kriging"
18,4,"Thierry Dudok de Wit","Greenhouse Gas Emission Inventory for the Royal Belgian Institute for Space Aeronomy"
19,3,"Bernard Foing","The LUNEX EGU COSPAR Total Solar Eclipse 2026 Campaign: Multi-Site Ground Observations and Space-Based Cross-Cutting Heliophysics Science"
20,1,"Clara Froment","Observation of thermal non-equilibrium cycles in a solar pseudo-streamer and implications for the solar wind dynamics"
21,2,"Malhar Gajjar","Solar Shield: Physics-Informed Machine Learning for Space-Weather-Driven LEO Altitude-Deviation Forecasting"
22,1,"Harriet George","Bursty bulk flow ionospheric impacts from triple-conjunctive observations"
23,1,"Charlotte Goetz","How I learned to tolerate the telescope - Remote observations of ion tails of comets"
24,4,"Panagiotis Gonidakis","Solar Structure Segmentation for Onboard AI and Solar Science"
25,1,"Maxime Grandin","Leveraging citizen science for auroral research: ARCTICS and beyond"
26,1,"Theresa Hoppe","Can auroral activity have an effect on the upper-mesospheric temperature?"
27,4,"Pelin Iochem","Characterization and modeling of the persistent high-latitude ionosphere response to the solar wind"
28,3,"Alexis Jeandet","An open-source stack for in-situ heliophysics: SciQLop, Speasy, pycdfpp and AstraLint"
29,2,"Mirkan Yusuf Kalkan","On the Prediction of Future Geomagnetic Activities Using Artificial Intelligence Techniques"
