# Poster → presenter's Zulip account. GENERATED by `npm run zulip-users`;
# rows with match=manual are preserved, everything else is recomputed.
# To fix a row by hand: set zulip_user_id + zulip_name and match=manual.
poster,author,zulip_user_id,zulip_name,match
1,Jeffersson Andres Agudelo Rueda,,,none
2,Eleanna Asvestari,781396,Eleanna Asvestari,auto
3,Georgios Balasis,663459,George Balasis,manual
4,Tinatin Baratashvili,781375,Tinatin Baratashvili,auto
5,Markus Baumgartner-Steinleitner,,,none
6,David Berghmans,663001,David Berghmans,auto
7,Harsh Bhati,,,none
8,Georg Bluthner,,,none
9,Sophie Chabanski,,,none
10,Christopher Chen,663425,Christopher Chen,auto
11,Evangelia Christodoulou,,,none
12,Evangelia Christodoulou,,,none
13,Fabrice Cipriani,663682,Fabrice Cipriani,auto
14,Elton Everardo Diaz Figueroa,,,none
15,Ekaterina Dineva,,,none
16,Ben Dobbing,,,none
17,Joshua Dreyer,,,none
18,Thierry Dudok de Wit,663585,Thierry Dudok de Wit,auto
19,Bernard Foing,,,none
20,Clara Froment,,,none
21,Malhar Gajjar,,,none
22,Harriet George,,,none
23,Charlotte Goetz,,,none
24,Panagiotis Gonidakis,,,none
25,Maxime Grandin,663184,Maxime Grandin,auto
26,Theresa Hoppe,,,none
27,Pelin Iochem,,,none
28,Alexis Jeandet,663513,Alexis Jeandet,auto
29,Mirkan Yusuf Kalkan,,,none
30,Kuan-Yu Ke,,,none
31,Florian Koller,661738,Florian Koller,auto
32,Simon Lautenbach,1204007,Simon Lautenbach,auto
33,Edoardo Legnaro,,,none
34,Martin Lindberg,,,none
35,Romain Maddox,,,none
36,Maria Federica Marcucci,663547,Maria Federica Marcucci,auto
37,Octav Marghitu,,,none
39,George Miloshevich,,,none
40,Kristers Nagainis,,,none
41,Nancy Narang,,,none
42,Paulina Quijia Pilapana,,,none
43,Laurel Rachmeler,,,none
44,Jakob Rausch,,,none
45,Snehasri Ravishankar,,,none
46,Alessandro Retino,663436,Alessandro Retino,auto
47,Laurence Rezeau,,,none
48,Ashley Smith,659760,Ashley Smith,auto
49,Marco Stangalini,661750,Marco Stangalini,auto
50,Julia Stawarz,,,none
51,Pawel Swaczyna,,,none
52,Myrto Tzamali,,,none
53,Petra Vanlommel,,,none
54,Dedong Wang,,,none
55,Cara Waters,,,none
56,Pritam Das,,,none
57,Adamantia Dimitrakoula,,,none
58,Agapitos Dovles,,,none
59,Federica Guarnaccia,,,none
60,Balazs Heilig,782117,Balazs Heilig,auto
61,Simon Mackovjak,661751,Simon Mackovjak,auto
62,Chandan Mandal,,,none
63,Eirini Nakopoulou,,,none
64,Daniil Papakonstantinou,,,none
65,Brigitte Schmieder,,,none
66,Konstantina Thanasoula,,,none
67,Mate Tomasik,,,none
68,Nicolina Chrysaphi,663590,Nicolina Chrysaphi,auto
69,Ahmad Lalti,,,none
